PLAYER,TEAM,GP,MP,GV-MP,GRAV,PERIM_GV-MP,PERIM_GRAV,INTERIOR_GV-MP,INTERIOR_GRAV,OFF_POS_PERIM_GV-MP,OFF_POS_PERIM_GRAV,OFF_POS_INTERIOR_GV-MP,OFF_POS_INTERIOR_GRAV,PTS,REB,AST
Kevin Durant,HOU,78,36.4,694.8,16.2,170.4,13.6,40.3,10.7,379.0,18.5,105.2,12.5,26.0,5.5,4.8
Anthony Edwards,MIN,60,35.1,472.9,15.1,154.9,16.3,35.9,11.5,238.4,15.6,43.8,10.7,29.0,5.0,3.7
Shai Gilgeous-Alexander,OKC,67,33.2,504.4,14.9,173.7,13.0,62.3,8.4,194.4,20.1,74.0,12.0,31.3,4.3,6.6
Luka Dončić,LAL,64,35.8,483.9,14.6,203.6,17.3,51.4,1.8,192.1,17.0,36.7,2.8,33.5,7.7,8.3
Kawhi Leonard,LAC,65,32.1,513.9,13.6,132.5,17.2,47.0,13.7,257.7,14.1,76.7,13.1,27.9,6.4,3.6
Klay Thompson,DAL,68,21.7,336.2,12.2,32.1,7.1,6.6,-7.5,246.4,15.1,51.2,-3.3,11.8,2.1,1.4
James Harden,CLE,70,34.9,611.0,11.9,254.6,13.8,42.0,-8.6,280.0,14.7,34.5,-5.3,23.6,4.8,8.0
Cade Cunningham,DET,62,33.9,482.1,11.3,187.3,12.1,46.3,0.8,199.7,14.7,48.8,1.9,23.9,5.5,9.8
Duncan Robinson,DET,75,27.3,485.6,11.3,40.4,10.2,8.8,-13.6,344.8,12.8,91.6,-6.1,12.1,2.6,2.1
Trey Murphy III,NOP,66,35.5,584.2,11.1,88.7,8.8,20.1,-3.1,392.6,13.4,82.7,0.3,21.5,5.7,3.8
Donovan Mitchell,CLE,69,33.4,502.6,10.8,154.4,7.9,38.5,-3.7,269.9,15.6,39.9,-1.7,27.8,4.5,5.7
Devin Booker,PHX,64,33.6,512.7,10.6,161.3,12.0,55.8,-0.5,219.6,15.0,76.0,-0.5,26.1,3.9,6.0
Tyrese Maxey,PHI,70,38.0,615.4,10.2,212.9,7.3,35.7,-3.0,323.0,13.7,43.9,2.5,28.3,4.1,6.6
Deni Avdija,POR,66,33.3,543.3,9.7,173.3,10.0,53.5,0.3,259.9,13.1,56.5,1.0,24.2,6.9,6.7
Norman Powell,MIA,58,29.6,368.9,9.4,55.4,5.3,19.9,-3.6,240.0,11.9,53.7,0.1,21.7,3.5,2.5
Desmond Bane,ORL,80,33.7,647.1,9.3,129.5,7.2,30.7,-8.1,407.6,12.3,79.3,-1.1,20.3,4.1,4.2
Jamal Murray,DEN,74,35.3,637.6,8.9,230.2,7.9,47.7,-0.4,295.2,12.9,64.6,0.3,25.5,4.4,7.1
Victor Wembanyama,SAS,63,29.2,384.5,8.5,49.6,9.7,37.5,2.5,145.6,10.7,151.8,4.7,25.1,11.5,3.1
Jalen Brunson,NYK,71,35.1,660.3,8.4,257.3,8.8,57.5,-9.2,291.9,12.8,53.5,-6.7,26.1,3.3,6.8
Jaylen Brown,BOS,71,34.4,619.5,8.4,167.4,9.8,64.2,1.4,318.7,10.2,69.2,2.8,28.7,6.9,5.1
